Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|12/09/2024|Vente|1700000,00|397||IMP|0100|DE LA VALSIERE|34790|GRABELS|34|116||AI|107||||||||||||0|1|Maison||50|2|T||3400
|||||||000001|12/09/2024|Vente|1700000,00|397||IMP|0100|DE LA VALSIERE|34790|GRABELS|34|116||AI|107||||||||||||0|1|Maison||50|2|S||1040
|||||||000001|18/09/2024|Vente|480,00||||B029|PERDIGAL|34790|GRABELS|34|116||BD|254||||||||||||0||||||T||48
|||||||000001|30/08/2024|Vente|142500,00|20||RUE|0110|EDOUARD BRANLY|34790|GRABELS|34|116||AE|54||70||||||||||1|2|Appartement||49|2|||
|||||||000001|30/08/2024|Vente|142500,00|22||RUE|0110|EDOUARD BRANLY|34790|GRABELS|34|116||AE|54||39||||||||||1|3|Dépendance||0|0|||
|||||||000001|18/09/2024|Vente|11221,00|5|T|RUE|0023|DU BOSQUET|34790|GRABELS|34|116||BA|298||||||||||||0||||||S||30
|||||||000001|12/09/2024|Vente|559410,00|15||RUE|0093|RENE CASSIN|34790|GRABELS|34|116||BB|11||||||||||||0|1|Maison||161|4|S||651
|||||||000001|12/09/2024|Vente|559410,00|15||RUE|0093|RENE CASSIN|34790|GRABELS|34|116||BB|11||||||||||||0|3|Dépendance||0|0|S||651
|||||||000001|30/09/2024|Vente|1850000,00|20||ALL|0105|DU ROSSIGNOL|34790|GRABELS|34|116||AM|60||||||||||||0|1|Maison||320|9|S||1739
|||||||000001|30/09/2024|Vente|1850000,00|20||ALL|0105|DU ROSSIGNOL|34790|GRABELS|34|116||AM|60||||||||||||0|3|Dépendance||0|0|S||1739
|||||||000001|30/09/2024|Vente|1850000,00|20||ALL|0105|DU ROSSIGNOL|34790|GRABELS|34|116||AM|60||||||||||||0|1|Maison||320|9|AG||8000
|||||||000001|30/09/2024|Vente|1850000,00|20||ALL|0105|DU ROSSIGNOL|34790|GRABELS|34|116||AM|60||||||||||||0|1|Maison||78|3|S||1739
|||||||000001|30/09/2024|Vente|1850000,00|20||ALL|0105|DU ROSSIGNOL|34790|GRABELS|34|116||AM|60||||||||||||0|1|Maison||78|3|AG||8000
|||||||000001|30/09/2024|Vente|1850000,00|20||ALL|0105|DU ROSSIGNOL|34790|GRABELS|34|116||AM|60||||||||||||0|3|Dépendance||0|0|AG||8000
|||||||000001|30/09/2024|Vente|1850000,00||||B030|PIQUET|34790|GRABELS|34|116||AM|66||||||||||||0||||||AB|RUE|1077
|||||||000001|30/09/2024|Vente|1850000,00||||B030|PIQUET|34790|GRABELS|34|116||AM|75||||||||||||0||||||AB|RUE|10556
|||||||000001|20/09/2024|Vente|418609,50||||B022|GIMEL|34790|GRABELS|34|116||AA|2||||||||||||0||||||T||3868
|||||||000001|20/09/2024|Vente|418609,50||||B022|GIMEL|34790|GRABELS|34|116||AA|5||||||||||||0||||||T||6979
|||||||000001|14/10/2024|Vente|68500,00|245||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|47||198||||||||||1|3|Dépendance||0|0|||
|||||||000001|14/10/2024|Vente|68500,00|245||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|47||86|17,25|||||||||1|2|Appartement||17|1|||
|||||||000001|20/09/2024|Vente en l'état futur d'achèvement|285500,00|116||ALL|0262|DE LA BADIANE|34790|GRABELS|34|116||AE|251||123||||||||||1|2|Appartement||63|3|||
|||||||000001|20/09/2024|Vente en l'état futur d'achèvement|285500,00|116||ALL|0262|DE LA BADIANE|34790|GRABELS|34|116||AE|251||177||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/10/2024|Vente|278000,00|6||RUE|0011|DES CARIGNANS|34790|GRABELS|34|116||AW|456||||||||||||0|1|Maison||68|3|S||172
|||||||000001|10/10/2024|Vente|278000,00|||RUE|0011|DES CARIGNANS|34790|GRABELS|34|116||AW|457||||||||||||0||||||AB|RUE|185
|||||||000001|15/10/2024|Vente|170000,00|11||RUE|0010|DU CALVAIRE|34790|GRABELS|34|116||AZ|121||||||||||||0|1|Maison||35|2|S||85
|||||||000001|04/10/2024|Vente en l'état futur d'achèvement|269000,00|116||ALL|0262|DE LA BADIANE|34790|GRABELS|34|116||AE|251||179||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/10/2024|Vente en l'état futur d'achèvement|269000,00|116||ALL|0262|DE LA BADIANE|34790|GRABELS|34|116||AE|251||104||||||||||1|2|Appartement||65|3|||
|||||||000001|21/10/2024|Vente|166000,00|820||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|42||39|42,44|4||||||||2|2|Appartement||43|2|||
|||||||000001|21/10/2024|Vente|166000,00|820||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|42||39|42,44|4||||||||2|3|Dépendance||0|0|||
|||||||000001|19/08/2024|Vente|465000,00|298||RUE|0067|DE LA PLAINE|34790|GRABELS|34|116||AR|207||||||||||||0|1|Maison||115|5|S||298
|||||||000001|30/10/2024|Vente|48500,00|245||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|47||186||||||||||1|3|Dépendance||0|0|||
|||||||000001|30/10/2024|Vente|48500,00|245||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|47||74|22,71|||||||||1|2|Appartement||21|1|||
|||||||000001|18/10/2024|Vente|459500,00|77||RUE|0018|DE LAS COUSTIERRASSAS|34790|GRABELS|34|116||BK|62||||||||||||0|1|Maison||100|3|S||574
|||||||000001|18/10/2024|Vente|459500,00|77||RUE|0018|DE LAS COUSTIERRASSAS|34790|GRABELS|34|116||BK|66||||||||||||0||||||S||48
|||||||000001|22/10/2024|Vente|536000,00|88||RUE|0016|DE LA COLLINE|34790|GRABELS|34|116||AP|152||||||||||||0|1|Maison||143|5|S||941
|||||||000001|22/10/2024|Vente|536000,00|88||RUE|0016|DE LA COLLINE|34790|GRABELS|34|116||AP|152||||||||||||0|3|Dépendance||0|0|S||941
|||||||000001|22/10/2024|Vente|536000,00|10||RUE|0016|DE LA COLLINE|34790|GRABELS|34|116||AP|163||||||||||||0||||||S||37
|||||||000001|31/10/2024|Vente|188000,00|31|B|RUE|0014|DU CHATEAU|34790|GRABELS|34|116||BE|231||||||||||||0||||||AG||480
|||||||000001|22/10/2024|Vente|242920,00|914||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|9||202||||||||||1|3|Dépendance||0|0|||
|||||||000001|22/10/2024|Vente|242920,00|914||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|9||201||||||||||1|3|Dépendance||0|0|||
|||||||000001|22/10/2024|Vente|242920,00|914||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|9||77|84,26|||||||||1|2|Appartement||84|4|||
|||||||000001|31/10/2024|Vente|206700,00|781||RUE|0260|FRANCOIS RANCHIN|34790|GRABELS|34|116||AE|221||30|63,00|||||||||1|2|Appartement||63|3|||
|||||||000001|31/10/2024|Vente|206700,00|781||RUE|0260|FRANCOIS RANCHIN|34790|GRABELS|34|116||AE|221||20||||||||||1|3|Dépendance||0|0|||
|||||||000001|31/10/2024|Vente|50000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||45|21,95|||||||||1|2|Appartement||22|1|||
|||||||000001|31/10/2024|Vente|50000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||131||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/11/2024|Vente|190000,00|886||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|6||2||27|62,70|||||||2|2|Appartement||64|3|||
|||||||000001|07/11/2024|Vente|190000,00|886||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|6||2||27|62,70|||||||2|3|Dépendance||0|0|||
|||||||000001|12/11/2024|Vente|200000,00|820||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|42||35||45|63,92|||||||2|3|Dépendance||0|0|||
|||||||000001|12/11/2024|Vente|200000,00|820||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|42||35||45|63,92|||||||2|2|Appartement||63|3|||
|||||||000001|29/10/2024|Vente|1072774,10||||B050|LA TUILERIE|34790|GRABELS|34|116||AC|149||||||||||||0||||||T||9111
|||||||000001|22/10/2024|Vente|403000,00|70||CHE|0046|DE GUILLERY|34790|GRABELS|34|116||BB|79||||||||||||0|3|Dépendance||0|0|S||1004
|||||||000001|22/10/2024|Vente|403000,00|70||CHE|0046|DE GUILLERY|34790|GRABELS|34|116||BB|79||||||||||||0|1|Maison||83|4|S||1004
|||||||000001|22/10/2024|Vente|403000,00|||CHE|0046|DE GUILLERY|34790|GRABELS|34|116||BB|82||||||||||||0||||||L||455
|||||||000001|22/10/2024|Vente|403000,00|||CHE|0046|DE GUILLERY|34790|GRABELS|34|116||BB|130||||||||||||0||||||L||286
|||||||000001|22/10/2024|Vente|403000,00|||CHE|0046|DE GUILLERY|34790|GRABELS|34|116||BB|131||||||||||||0||||||L||92
|||||||000001|28/10/2024|Vente|181300,00|664||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|189||24||||||||||1|3|Dépendance||0|0|||
|||||||000001|28/10/2024|Vente|181300,00|664||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|189||51||||||||||1|2|Appartement||66|3|||
|||||||000001|20/11/2024|Vente|1500,00|5660|||B030|PIQUET|34790|GRABELS|34|116||AM|157||||||||||||0|1|Maison||120|4|S||56
|||||||000001|20/11/2024|Vente|1500,00|5660|||B030|PIQUET|34790|GRABELS|34|116||AM|157||||||||||||0|3|Dépendance||0|0|S||56
|||||||000001|20/11/2024|Vente|1500,00|5660|||B030|PIQUET|34790|GRABELS|34|116||AM|157||||||||||||0|3|Dépendance||0|0|S||56
|||||||000001|21/11/2024|Vente|245000,00|||CHE|0046|DE GUILLERY|34790|GRABELS|34|116||BB|82||||||||||||0||||||L||455
|||||||000001|21/11/2024|Vente|245000,00|5044|||B042|RIEUMASSEL|34790|GRABELS|34|116||BB|132||||||||||||0|1|Maison||54|2|S||433
|||||||000001|15/11/2024|Vente|86207,00|878||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|207||220||8|44,31|||||||2|2|Appartement||44|2|||
|||||||000001|15/11/2024|Vente|86207,00|878||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|207||220||8|44,31|||||||2|3|Dépendance||0|0|||
|||||||000001|08/11/2024|Vente|63000,00|934||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|4||2076|22,01|||||||||1|2|Appartement||22|1|||
|||||||000001|08/11/2024|Vente|63000,00|934||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|4||24||||||||||1|3|Dépendance||0|0|||
